Date,Tm,Opp,Result,MP,FG_T,FGA_T,FG%_T,2P_T,2PA_T,2P%_T,3P_T,3PA_T,3P%_T,FT_T,FTA_T,FT%_T,PTS_T,FG_O,FGA_O,FG%_O,2P_O,2PA_O,2P%_O,3P_O,3PA_O,3P%_O,FT_O,FTA_O,FT%_O,PTS_O
2020-01-14,GSW,DAL,L 97-124,240,39,87,.448,30,55,.545,9,32,.281,10,13,.769,97,49,96,.510,36,59,.610,13,37,.351,13,21,.619,124
2019-10-28,DET,IND,W 96-94,240,37,81,.457,24,57,.421,13,24,.542,9,10,.900,96,39,94,.415,33,73,.452,6,21,.286,10,13,.769,94
2019-10-28,CHO,LAC,L 96-111,240,36,83,.434,22,44,.500,14,39,.359,10,14,.714,96,40,83,.482,28,50,.560,12,33,.364,19,21,.905,111
2019-10-28,UTA,PHO,W 96-95,240,27,71,.380,17,40,.425,10,31,.323,32,39,.821,96,33,80,.413,20,46,.435,13,34,.382,16,23,.696,95
2019-10-30,LAC,UTA,L 96-110,240,39,82,.476,31,59,.525,8,23,.348,10,12,.833,96,44,80,.550,33,56,.589,11,24,.458,11,16,.688,110
2019-11-03,SAS,LAL,L 96-103,240,33,83,.398,27,58,.466,6,25,.240,24,29,.828,96,42,87,.483,36,63,.571,6,24,.250,13,19,.684,103
2019-11-18,CHO,TOR,L 96-132,240,33,78,.423,18,33,.545,15,45,.333,15,24,.625,96,50,97,.515,30,54,.556,20,43,.465,12,15,.800,132
2019-11-22,DEN,BOS,W 96-92,240,39,88,.443,32,60,.533,7,28,.250,11,13,.846,96,33,81,.407,26,54,.481,7,27,.259,19,23,.826,92
2019-11-25,PHI,TOR,L 96-101,240,36,88,.409,21,48,.438,15,40,.375,9,16,.563,96,38,84,.452,27,50,.540,11,34,.324,14,22,.636,101
2019-11-30,CHO,MIL,L 96-137,240,37,101,.366,22,56,.393,15,45,.333,7,8,.875,96,54,96,.563,34,52,.654,20,44,.455,9,15,.600,137
2019-12-01,GSW,ORL,L 96-100,240,36,91,.396,30,68,.441,6,23,.261,18,23,.783,96,37,87,.425,26,54,.481,11,33,.333,15,22,.682,100
2019-12-03,DEN,LAL,L 96-105,240,37,91,.407,31,62,.500,6,29,.207,16,17,.941,96,39,84,.464,32,60,.533,7,24,.292,20,30,.667,105
2019-12-04,UTA,LAL,L 96-121,240,34,83,.410,20,52,.385,14,31,.452,14,19,.737,96,46,90,.511,32,61,.525,14,29,.483,15,25,.600,121
2019-12-08,POR,OKC,L 96-108,240,36,100,.360,27,67,.403,9,33,.273,15,18,.833,96,35,85,.412,24,53,.453,11,32,.344,27,34,.794,108
2019-12-11,LAL,ORL,W 96-87,240,37,87,.425,25,56,.446,12,31,.387,10,19,.526,96,34,81,.420,26,55,.473,8,26,.308,11,17,.647,87
2019-12-15,ATL,LAL,L 96-101,240,31,86,.360,19,44,.432,12,42,.286,22,25,.880,96,36,84,.429,31,53,.585,5,31,.161,24,33,.727,101
2019-12-27,PHO,GSW,L 96-105,240,35,75,.467,28,42,.667,7,33,.212,19,24,.792,96,38,92,.413,29,65,.446,9,27,.333,20,25,.800,105
2020-01-04,ORL,UTA,L 96-109,240,38,85,.447,27,48,.563,11,37,.297,9,12,.750,96,42,93,.452,26,53,.491,16,40,.400,9,14,.643,109
2019-10-23,SAC,PHO,L 95-124,240,34,87,.391,24,58,.414,10,29,.345,17,26,.654,95,49,98,.500,38,65,.585,11,33,.333,15,18,.833,124
2019-10-23,OKC,UTA,L 95-100,240,32,83,.386,22,56,.393,10,27,.370,21,31,.677,95,40,90,.444,34,66,.515,6,24,.250,14,20,.700,100
2019-10-25,LAL,UTA,W 95-86,240,34,86,.395,26,60,.433,8,26,.308,19,24,.792,95,29,70,.414,21,45,.467,8,25,.320,20,21,.952,86
2019-10-26,NYK,BOS,L 95-118,240,31,82,.378,24,55,.436,7,27,.259,26,34,.765,95,42,93,.452,27,52,.519,15,41,.366,19,29,.655,118
2019-10-28,PHO,UTA,L 95-96,240,33,80,.413,20,46,.435,13,34,.382,16,23,.696,95,27,71,.380,17,40,.425,10,31,.323,32,39,.821,96
2019-10-28,ORL,TOR,L 95-104,240,34,89,.382,22,50,.440,12,39,.308,15,18,.833,95,33,85,.388,23,46,.500,10,39,.256,28,30,.933,104
2019-10-30,ORL,NYK,W 95-83,240,37,88,.420,25,56,.446,12,32,.375,9,12,.750,95,31,82,.378,24,51,.471,7,31,.226,14,20,.700,83
2019-10-30,MIN,PHI,L 95-117,240,32,81,.395,22,46,.478,10,35,.286,21,28,.750,95,43,92,.467,34,67,.507,9,25,.360,22,28,.786,117
2019-11-01,CLE,IND,L 95-102,240,32,87,.368,21,55,.382,11,32,.344,20,25,.800,95,39,96,.406,34,69,.493,5,27,.185,19,21,.905,102
2019-11-03,CHI,IND,L 95-108,240,36,84,.429,27,55,.491,9,29,.310,14,25,.560,95,40,85,.471,32,59,.542,8,26,.308,20,27,.741,108
2019-11-08,LAL,MIA,W 95-80,240,40,89,.449,32,57,.561,8,32,.250,7,8,.875,95,28,80,.350,22,45,.489,6,35,.171,18,24,.750,80
2019-11-17,CLE,PHI,L 95-114,240,34,90,.378,28,65,.431,6,25,.240,21,24,.875,95,46,84,.548,37,61,.607,9,23,.391,13,17,.765,114
2019-11-19,MEM,GSW,L 95-114,240,36,88,.409,27,63,.429,9,25,.360,14,19,.737,95,43,90,.478,34,61,.557,9,29,.310,19,22,.864,114
2019-11-20,HOU,DEN,L 95-105,240,32,76,.421,20,38,.526,12,38,.316,19,25,.760,95,44,94,.468,35,67,.522,9,27,.333,8,15,.533,105
2019-11-20,MIN,UTA,L 95-103,240,35,89,.393,21,44,.477,14,45,.311,11,21,.524,95,35,86,.407,21,53,.396,14,33,.424,19,27,.704,103
2019-11-29,NYK,PHI,L 95-101,240,34,78,.436,26,58,.448,8,20,.400,19,33,.576,95,31,72,.431,24,46,.522,7,26,.269,32,40,.800,101
2019-12-06,DEN,BOS,L 95-108,240,39,94,.415,34,64,.531,5,30,.167,12,15,.800,95,44,82,.537,31,47,.660,13,35,.371,7,8,.875,108
2019-12-23,CHI,ORL,L 95-103,240,35,88,.398,22,51,.431,13,37,.351,12,15,.800,95,39,81,.481,29,55,.527,10,26,.385,15,23,.652,103
2019-12-29,DAL,LAL,L 95-108,240,32,89,.360,19,46,.413,13,43,.302,18,20,.900,95,38,78,.487,29,55,.527,9,23,.391,23,28,.821,108
2020-01-13,PHI,IND,L 95-101,240,37,89,.416,31,56,.554,6,33,.182,15,19,.789,95,33,86,.384,23,60,.383,10,26,.385,25,31,.806,101
2020-01-16,ORL,LAC,L 95-122,240,36,92,.391,22,50,.440,14,42,.333,9,16,.563,95,47,95,.495,33,63,.524,14,32,.438,14,20,.700,122
2019-10-23,ORL,CLE,W 94-85,240,37,86,.430,28,56,.500,9,30,.300,11,19,.579,94,33,88,.375,24,54,.444,9,34,.265,10,15,.667,85
2019-10-28,IND,DET,L 94-96,240,39,94,.415,33,73,.452,6,21,.286,10,13,.769,94,37,81,.457,24,57,.421,13,24,.542,9,10,.900,96
2019-10-28,SAC,DEN,L 94-101,240,36,91,.396,24,54,.444,12,37,.324,10,16,.625,94,36,98,.367,26,62,.419,10,36,.278,19,21,.905,101
2019-11-03,UTA,LAC,L 94-105,240,31,78,.397,21,47,.447,10,31,.323,22,31,.710,94,36,92,.391,29,60,.483,7,32,.219,26,34,.765,105
2019-11-05,ORL,OKC,L 94-102,240,32,82,.390,29,60,.483,3,22,.136,27,31,.871,94,37,86,.430,25,53,.472,12,33,.364,16,20,.800,102
2019-11-09,CHI,HOU,L 94-117,240,37,98,.378,33,66,.500,4,32,.125,16,18,.889,94,39,83,.470,20,39,.513,19,44,.432,20,28,.714,117
2019-11-13,GSW,LAL,L 94-120,240,36,89,.404,27,54,.500,9,35,.257,13,17,.765,94,48,89,.539,39,69,.565,9,20,.450,15,18,.833,120
2019-11-16,NOP,MIA,L 94-109,240,37,82,.451,21,47,.447,16,35,.457,4,6,.667,94,44,81,.543,35,57,.614,9,24,.375,12,13,.923,109
2019-11-20,GSW,DAL,L 94-142,240,35,90,.389,27,63,.429,8,27,.296,16,25,.640,94,51,90,.567,29,52,.558,22,38,.579,18,23,.783,142
2019-11-25,CHI,POR,L 94-117,240,36,86,.419,27,47,.574,9,39,.231,13,20,.650,94,46,89,.517,38,62,.613,8,27,.296,17,22,.773,117
2019-11-29,MEM,UTA,L 94-103,240,37,94,.394,27,60,.450,10,34,.294,10,17,.588,94,38,95,.400,26,60,.433,12,35,.343,15,19,.789,103
2019-12-02,UTA,PHI,L 94-103,240,38,81,.469,33,59,.559,5,22,.227,13,20,.650,94,37,91,.407,24,65,.369,13,26,.500,16,23,.696,103
2019-12-03,CLE,DET,L 94-127,240,38,90,.422,30,63,.476,8,27,.296,10,14,.714,94,51,94,.543,33,59,.559,18,35,.514,7,11,.636,127
2019-12-07,CLE,PHI,L 94-141,240,36,96,.375,27,61,.443,9,35,.257,13,17,.765,94,57,90,.633,46,64,.719,11,26,.423,16,23,.696,141
2019-12-11,SAC,OKC,W 94-93,240,39,88,.443,29,57,.509,10,31,.323,6,10,.600,94,34,79,.430,21,46,.457,13,33,.394,12,18,.667,93
2019-12-23,POR,NOP,L 94-102,240,37,91,.407,33,62,.532,4,29,.138,16,18,.889,94,38,93,.409,23,58,.397,15,35,.429,11,16,.688,102
2019-12-26,NYK,BRK,W 94-82,240,37,92,.402,28,63,.444,9,29,.310,11,15,.733,94,21,78,.269,8,28,.286,13,50,.260,27,36,.750,82
2019-12-28,CLE,MIN,W 94-88,240,32,77,.416,28,57,.491,4,20,.200,26,36,.722,94,33,93,.355,25,56,.446,8,37,.216,14,19,.737,88
2020-01-06,BOS,WAS,L 94-99,240,33,95,.347,25,58,.431,8,37,.216,20,26,.769,94,39,84,.464,32,63,.508,7,21,.333,14,23,.609,99
2020-01-10,ORL,PHO,L 94-98,240,33,89,.371,24,56,.429,9,33,.273,19,24,.792,94,33,79,.418,24,51,.471,9,28,.321,23,26,.885,98
2019-10-23,BOS,PHI,L 93-107,240,33,90,.367,26,64,.406,7,26,.269,20,34,.588,93,37,85,.435,30,56,.536,7,29,.241,26,36,.722,107
2019-11-02,CHO,GSW,W 93-87,240,36,85,.424,31,56,.554,5,29,.172,16,23,.696,93,34,77,.442,25,49,.510,9,28,.321,10,13,.769,87
2019-11-06,ATL,CHI,L 93-113,240,30,74,.405,24,44,.545,6,30,.200,27,35,.771,93,41,82,.500,28,49,.571,13,33,.394,18,27,.667,113
2019-11-13,LAC,HOU,L 93-102,240,38,98,.388,28,65,.431,10,33,.303,7,14,.500,93,33,86,.384,19,44,.432,14,42,.333,22,27,.815,102
2019-11-14,BRK,DEN,L 93-101,240,36,95,.379,28,57,.491,8,38,.211,13,16,.813,93,43,101,.426,33,68,.485,10,33,.303,5,10,.500,101
2019-12-04,MIA,BOS,L 93-112,240,34,77,.442,20,39,.513,14,38,.368,11,17,.647,93,35,79,.443,19,38,.500,16,41,.390,26,32,.813,112
2019-12-06,ORL,CLE,W 93-87,240,32,82,.390,23,56,.411,9,26,.346,20,23,.870,93,35,83,.422,25,49,.510,10,34,.294,7,10,.700,87
2019-12-09,TOR,CHI,W 93-92,240,34,90,.378,27,61,.443,7,29,.241,18,26,.692,93,35,89,.393,23,43,.535,12,46,.261,10,14,.714,92
2019-12-11,OKC,SAC,L 93-94,240,34,79,.430,21,46,.457,13,33,.394,12,18,.667,93,39,88,.443,29,57,.509,10,31,.323,6,10,.600,94
2019-12-20,DET,BOS,L 93-114,240,34,85,.400,23,54,.426,11,31,.355,14,19,.737,93,45,86,.523,36,59,.610,9,27,.333,15,21,.714,114
2019-12-22,CHO,BOS,L 93-119,240,33,82,.402,23,48,.479,10,34,.294,17,23,.739,93,46,88,.523,32,56,.571,14,32,.438,13,16,.813,119
2019-12-30,ORL,ATL,L 93-101,240,37,89,.416,32,64,.500,5,25,.200,14,24,.583,93,39,81,.481,30,52,.577,9,29,.310,14,17,.824,101
2020-01-01,POR,NYK,L 93-117,240,37,94,.394,27,62,.435,10,32,.313,9,15,.600,93,47,98,.480,33,62,.532,14,36,.389,9,14,.643,117
2019-10-27,GSW,OKC,L 92-120,240,30,92,.326,25,59,.424,5,33,.152,27,31,.871,92,44,78,.564,29,46,.630,15,32,.469,17,22,.773,120
2019-11-03,NYK,SAC,L 92-113,240,32,80,.400,24,49,.490,8,31,.258,20,31,.645,92,41,85,.482,26,46,.565,15,39,.385,16,25,.640,113
2019-11-22,BOS,DEN,L 92-96,240,33,81,.407,26,54,.481,7,27,.259,19,23,.826,92,39,88,.443,32,60,.533,7,28,.250,11,13,.846,96
2019-12-05,NYK,DEN,L 92-129,240,34,83,.410,25,49,.510,9,34,.265,15,23,.652,92,49,87,.563,28,48,.583,21,39,.538,10,18,.556,129
2019-12-09,CHI,TOR,L 92-93,240,35,89,.393,23,43,.535,12,46,.261,10,14,.714,92,34,90,.378,27,61,.443,7,29,.241,18,26,.692,93
2019-12-10,DEN,PHI,L 92-97,240,37,85,.435,30,58,.517,7,27,.259,11,12,.917,92,37,89,.416,25,53,.472,12,36,.333,11,16,.688,97
2019-12-11,TOR,LAC,L 92-112,240,31,88,.352,23,52,.442,8,36,.222,22,25,.880,92,38,86,.442,26,46,.565,12,40,.300,24,27,.889,112
2019-12-31,CHO,BOS,L 92-109,240,34,86,.395,22,52,.423,12,34,.353,12,16,.750,92,44,97,.454,30,59,.508,14,38,.368,7,10,.700,109
2020-01-09,HOU,OKC,L 92-113,240,34,89,.382,23,49,.469,11,40,.275,13,14,.929,92,43,87,.494,32,55,.582,11,32,.344,16,20,.800,113
2020-01-10,CHO,UTA,L 92-109,240,35,75,.467,27,49,.551,8,26,.308,14,19,.737,92,40,79,.506,22,37,.595,18,42,.429,11,14,.786,109
2020-01-12,CHO,PHO,L 92-100,240,36,86,.419,28,51,.549,8,35,.229,12,18,.667,92,41,82,.500,34,61,.557,7,21,.333,11,18,.611,100
2019-10-29,MEM,LAL,L 91-120,240,31,95,.326,24,61,.393,7,34,.206,22,23,.957,91,40,86,.465,33,60,.550,7,26,.269,33,39,.846,120
2019-11-01,ORL,MIL,L 91-123,240,34,91,.374,22,54,.407,12,37,.324,11,17,.647,91,47,93,.505,30,46,.652,17,47,.362,12,18,.667,123
2019-11-02,DEN,ORL,W 91-87,240,27,73,.370,18,45,.400,9,28,.321,28,39,.718,91,37,86,.430,31,57,.544,6,29,.207,7,11,.636,87
2019-11-20,CHO,BRK,L 91-101,240,30,81,.370,19,48,.396,11,33,.333,20,26,.769,91,36,90,.400,26,51,.510,10,39,.256,19,23,.826,101
2019-11-27,SAC,PHI,L 91-97,240,39,95,.411,30,61,.492,9,34,.265,4,9,.444,91,36,77,.468,31,51,.608,5,26,.192,20,24,.833,97
2019-12-04,GSW,CHO,L 91-106,240,36,78,.462,27,55,.491,9,23,.391,10,15,.667,91,40,87,.460,19,39,.487,21,48,.438,5,8,.625,106
2019-12-06,LAC,MIL,L 91-119,240,33,94,.351,25,62,.403,8,32,.250,17,19,.895,91,44,94,.468,30,58,.517,14,36,.389,17,21,.810,119
2020-01-11,PHI,DAL,L 91-109,240,37,98,.378,28,61,.459,9,37,.243,8,12,.667,91,40,79,.506,29,52,.558,11,27,.407,18,27,.667,109
2019-11-18,LAC,OKC,W 90-88,240,35,87,.402,25,51,.490,10,36,.278,10,14,.714,90,28,75,.373,21,48,.438,7,27,.259,25,28,.893,88
2019-11-23,DET,MIL,L 90-104,240,37,91,.407,27,56,.482,10,35,.286,6,10,.600,90,41,84,.488,28,47,.596,13,37,.351,9,18,.500,104
2019-11-27,CHI,GSW,L 90-104,240,34,89,.382,24,60,.400,10,29,.345,12,18,.667,90,37,81,.457,26,52,.500,11,29,.379,19,26,.731,104
2019-11-29,TOR,ORL,W 90-83,240,31,84,.369,20,46,.435,11,38,.289,17,28,.607,90,27,78,.346,20,49,.408,7,29,.241,22,27,.815,83
2019-12-09,UTA,OKC,L 90-104,240,36,89,.404,28,58,.483,8,31,.258,10,12,.833,90,40,85,.471,32,57,.561,8,28,.286,16,19,.842,104
2019-11-05,MIA,DEN,L 89-109,240,32,88,.364,23,59,.390,9,29,.310,16,25,.640,89,45,86,.523,36,63,.571,9,23,.391,10,16,.625,109
2019-11-20,DET,CHI,L 89-109,240,28,83,.337,20,50,.400,8,33,.242,25,32,.781,89,39,91,.429,25,64,.391,14,27,.519,17,26,.654,109
