Date,Tm,Opp,Result,MP,FG_T,FGA_T,FG%_T,2P_T,2PA_T,2P%_T,3P_T,3PA_T,3P%_T,FT_T,FTA_T,FT%_T,PTS_T,FG_O,FGA_O,FG%_O,2P_O,2PA_O,2P%_O,3P_O,3PA_O,3P%_O,FT_O,FTA_O,FT%_O,PTS_O
2019-11-20,UTA,MIN,W 103-95,240,35,86,.407,21,53,.396,14,33,.424,19,27,.704,103,35,89,.393,21,44,.477,14,45,.311,11,21,.524,95
2019-11-22,ATL,DET,L 103-128,240,38,88,.432,28,51,.549,10,37,.270,17,17,1.000,103,49,82,.598,32,48,.667,17,34,.500,13,20,.650,128
2019-11-24,BRK,NYK,W 103-101,240,31,77,.403,17,39,.436,14,38,.368,27,34,.794,103,37,80,.463,19,45,.422,18,35,.514,9,16,.563,101
2019-11-25,BOS,SAC,W 103-102,240,38,85,.447,31,55,.564,7,30,.233,20,23,.870,103,37,79,.468,19,32,.594,18,47,.383,10,15,.667,102
2019-11-25,DET,ORL,W 103-88,240,34,79,.430,20,41,.488,14,38,.368,21,25,.840,103,32,84,.381,24,59,.407,8,25,.320,16,22,.727,88
2019-11-29,WAS,LAL,L 103-125,240,38,96,.396,28,59,.475,10,37,.270,17,19,.895,103,45,87,.517,31,55,.564,14,32,.438,21,28,.750,125
2019-11-29,UTA,MEM,W 103-94,240,38,95,.400,26,60,.433,12,35,.343,15,19,.789,103,37,94,.394,27,60,.450,10,34,.294,10,17,.588,94
2019-11-29,CHI,POR,L 103-107,240,36,94,.383,22,56,.393,14,38,.368,17,25,.680,103,38,84,.452,28,54,.519,10,30,.333,21,28,.750,107
2019-12-02,PHI,UTA,W 103-94,240,37,91,.407,24,65,.369,13,26,.500,16,23,.696,103,38,81,.469,33,59,.559,5,22,.227,13,20,.650,94
2019-12-04,DET,MIL,L 103-127,240,39,93,.419,28,57,.491,11,36,.306,14,22,.636,103,44,90,.489,30,55,.545,14,35,.400,25,27,.926,127
2019-12-06,WAS,MIA,L 103-112,240,39,91,.429,27,52,.519,12,39,.308,13,14,.929,103,42,86,.488,32,58,.552,10,28,.357,18,24,.750,112
2019-12-07,NYK,IND,L 103-104,240,39,96,.406,29,65,.446,10,31,.323,15,21,.714,103,41,85,.482,29,57,.509,12,28,.429,10,13,.769,104
2019-12-09,NOP,DET,L 103-105,240,40,91,.440,32,53,.604,8,38,.211,15,22,.682,103,36,85,.424,25,50,.500,11,35,.314,22,27,.815,105
2019-12-13,NYK,SAC,W 103-101,240,44,95,.463,35,65,.538,9,30,.300,6,10,.600,103,39,83,.470,22,44,.500,17,39,.436,6,8,.750,101
2019-12-18,DAL,BOS,L 103-109,240,34,87,.391,19,44,.432,15,43,.349,20,25,.800,103,35,86,.407,23,48,.479,12,38,.316,27,30,.900,109
2019-12-20,ORL,POR,L 103-118,240,39,106,.368,32,78,.410,7,28,.250,18,26,.692,103,42,84,.500,25,48,.521,17,36,.472,17,19,.895,118
2019-12-23,ORL,CHI,W 103-95,240,39,81,.481,29,55,.527,10,26,.385,15,23,.652,103,35,88,.398,22,51,.431,13,37,.351,12,15,.800,95
2020-01-02,SAS,OKC,L 103-109,240,40,92,.435,27,61,.443,13,31,.419,10,12,.833,103,43,89,.483,34,64,.531,9,25,.360,14,20,.700,109
2020-01-03,WAS,POR,L 103-122,240,38,90,.422,27,57,.474,11,33,.333,16,25,.640,103,45,88,.511,39,63,.619,6,25,.240,26,33,.788,122
2020-01-05,CLE,MIN,L 103-118,240,40,84,.476,32,59,.542,8,25,.320,15,19,.789,103,47,95,.495,33,57,.579,14,38,.368,10,13,.769,118
2020-01-07,BRK,OKC,L 103-111 (OT),265,40,98,.408,29,61,.475,11,37,.297,12,16,.750,103,38,92,.413,27,55,.491,11,37,.297,24,29,.828,111
2020-01-07,PHO,SAC,L 103-114,240,37,77,.481,26,42,.619,11,35,.314,18,22,.818,103,37,84,.440,22,48,.458,15,36,.417,25,28,.893,114
2020-01-11,DEN,CLE,L 103-111,240,41,95,.432,33,56,.589,8,39,.205,13,18,.722,103,44,89,.494,32,52,.615,12,37,.324,11,13,.846,111
2020-01-14,CLE,LAC,L 103-128,240,38,91,.418,24,54,.444,14,37,.378,13,15,.867,103,49,94,.521,34,56,.607,15,38,.395,15,21,.714,128
2020-01-15,BOS,DET,L 103-116,240,41,83,.494,32,55,.582,9,28,.321,12,20,.600,103,47,78,.603,35,46,.761,12,32,.375,10,19,.526,116
2019-10-22,LAL,LAC,L 102-112,240,37,85,.435,24,52,.462,13,33,.394,15,21,.714,102,42,81,.519,31,50,.620,11,31,.355,17,24,.708,112
2019-10-25,MEM,CHI,L 102-110,240,39,94,.415,29,65,.446,10,29,.345,14,20,.700,102,40,93,.430,28,51,.549,12,42,.286,18,24,.750,110
2019-10-30,POR,OKC,W 102-99,240,34,86,.395,17,51,.333,17,35,.486,17,24,.708,102,33,84,.393,29,57,.509,4,27,.148,29,37,.784,99
2019-11-01,NYK,BOS,L 102-104,240,37,93,.398,23,55,.418,14,38,.368,14,21,.667,102,33,74,.446,22,40,.550,11,34,.324,27,29,.931,104
2019-11-01,IND,CLE,W 102-95,240,39,96,.406,34,69,.493,5,27,.185,19,21,.905,102,32,87,.368,21,55,.382,11,32,.344,20,25,.800,95
2019-11-01,SAC,UTA,W 102-101,240,41,84,.488,33,55,.600,8,29,.276,12,17,.706,102,35,73,.479,24,45,.533,11,28,.393,20,27,.741,101
2019-11-05,OKC,ORL,W 102-94,240,37,86,.430,25,53,.472,12,33,.364,16,20,.800,102,32,82,.390,29,60,.483,3,22,.136,27,31,.871,94
2019-11-06,NYK,DET,L 102-122,240,39,80,.488,28,55,.509,11,25,.440,13,21,.619,102,44,79,.557,29,49,.592,15,30,.500,19,24,.792,122
2019-11-08,DAL,NYK,L 102-106,240,37,90,.411,23,46,.500,14,44,.318,14,17,.824,102,37,89,.416,23,61,.377,14,28,.500,18,31,.581,106
2019-11-10,ORL,IND,L 102-109,240,41,89,.461,26,53,.491,15,36,.417,5,6,.833,102,48,91,.527,39,71,.549,9,20,.450,4,5,.800,109
2019-11-12,NYK,CHI,L 102-120,240,36,88,.409,26,56,.464,10,32,.313,20,31,.645,102,41,81,.506,27,48,.563,14,33,.424,24,31,.774,120
2019-11-13,HOU,LAC,W 102-93,240,33,86,.384,19,44,.432,14,42,.333,22,27,.815,102,38,98,.388,28,65,.431,10,33,.303,7,14,.500,93
2019-11-15,IND,HOU,L 102-111,240,37,82,.451,29,49,.592,8,33,.242,20,26,.769,102,36,89,.404,22,43,.512,14,46,.304,25,29,.862,111
